Название;Цена;При обмене;Характеристика;Ссылка
RDrive YB16AL-A2 12V 16Ah 175А обр. Heavy Duty (207x71.5x164) eXtremal HD сухозаряж.;3 600 руб.;3 500 руб.при обмене;Емкость16СтранаКитайJIS-кодYB16AL-A2Пусковой ток175ПолярностьОбратнаяТипоразмер207x71.5x164;https://akb.ru//product/2040-RDrive_YB16AL-A2_12V_16Ah_175A_obr_Heavy_Duty_(207x715x164)_eXtremal_HD_suhozaryazh.html
RDrive YTZ14S 12V 11Ah 230А прям. пол. AGM (150x87x110) eXtremal PLATINUM;3 600 руб.;3 550 руб.при обмене;Емкость11СтранаКитайJIS-кодYTZ14SПусковой ток230ПолярностьПрямаяТипоразмер150x87x110;https://akb.ru//product/2093-RDrive_YTZ14S_12V_11Ah_230A_pryam_pol_AGM_(150x87x110)_eXtremal_PLATINUM.html
RDrive YB14-A-PW 12V 12Ah 210А прям. пол. AGM сухозаряж. (134x90x164) eXtremal SILVER;3 800 руб.;3 750 руб.при обмене;Емкость12СтранаКитайJIS-кодYB14-A-PWПусковой ток210ПолярностьПрямаяТипоразмер134x90x164;https://akb.ru//product/2084-RDrive_YB14-A-PW_12V_12Ah_210A_pryam_pol_AGM_suhozaryazh_(134x90x164)_eXtremal_SILVER.html
RDrive YB14L-A-PW 12V 12Ah 210А обр. пол. AGM сухозаряж. (134x90x166) eXtremal SILVER;3 800 руб.;3 750 руб.при обмене;Емкость12СтранаКитайJIS-кодYB14L-A-PWПусковой ток210ПолярностьОбратнаяТипоразмер134x90x166;https://akb.ru//product/2097-RDrive_YB14L-A-PW_12V_12Ah_210A_obr_pol_AGM_suhozaryazh_(134x90x166)_eXtremal_SILVER.html
RDrive YB16CL-B 12V 20Ah 240А обр. Heavy Duty (175x100x175) eXtremal HD сухозаряж.;4 200 руб.;4 100 руб.при обмене;Емкость20СтранаКитайJIS-кодYB16CL-BПусковой ток240ПолярностьОбратнаяТипоразмер175x100x175;https://akb.ru//product/1489-RDrive_YB16CL-B_12V_20Ah_240A_obr_Heavy_Duty_(175x100x175)_eXtremal_HD_suhozaryazh.html
RDrive YTX20L-BS 12V 18Ah 270А обр. пол. AGM сухозаряж. (176x87x154) eXtremal SILVER;4 500 руб.;4 400 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX20L-BSПусковой ток270ПолярностьОбратнаяТипоразмер176x87x154;https://akb.ru//product/2042-RDrive_YTX20L-BS_12V_18Ah_270A_obr_pol_AGM_suhozaryazh_(176x87x154)_eXtremal_SILVER.html
RDrive YTX14H-BS 12V 12Ah 230А прям. пол. AGM (150x87x145) eXtremal GOLD;4 600 руб.;4 550 руб.при обмене;Емкость12СтранаКитайJIS-кодYTX14H-BSПусковой ток230ПолярностьПрямаяТипоразмер150x87x145;https://akb.ru//product/2091-RDrive_YTX14H-BS_12V_12Ah_230A_pryam_pol_AGM_(150x87x145)_eXtremal_GOLD.html
Rdrive А 000 982 93 08 OEM 12 Ач п.п. 200А (150x87x146) AUXILIARY YTX14-BS;4 800 руб.;4 750 руб.при обмене;Емкость12СтранаКитайJIS-кодYTX14-BSПусковой ток200ПолярностьПрямаяТипоразмер150x87x146;https://akb.ru//product/91720-Rdrive_A_000_982_93_08_OEM_12_Ach_pp_200A_(150x87x146)_AUXILIARY_YTX14-BS.html
RDrive  YTX20HL-GEL 12V 18Ah 310А обр. пол. (176x87x154) eXtremal GOLD;5 800 руб.;5 700 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX20HL-BSПусковой ток310ПолярностьОбратнаяТипоразмер176x87x154;https://akb.ru//product/2063-RDrive__YTX20HL-GEL_12V_18Ah_310A_obr_pol_(176x87x154)_eXtremal_GOLD.html
RDrive YTX24HL-BS 12V 21Ah 360А обр. пол. AGM  (205x90x162) eXtremal GOLD;5 800 руб.;5 700 руб.при обмене;Емкость21СтранаКитайJIS-кодYTX24HL-BSПусковой ток360ПолярностьОбратнаяТипоразмер205x90x162;https://akb.ru//product/2076-RDrive_YTX24HL-BS_12V_21Ah_360A_obr_pol_AGM__(205x90x162)_eXtremal_GOLD.html
RDrive YIX30L-BS 12V 30Ah 440А AGM обр. (169x125x175) eXtremal GOLD;7 100 руб.;7 000 руб.при обмене;Емкость30СтранаКитайJIS-кодYIX30L-BSПусковой ток440ПолярностьОбратнаяТипоразмер169x126x175;https://akb.ru//product/1459-RDrive_YIX30L-BS_12V_30Ah_440A_AGM_obr_(169x125x175)_eXtremal_GOLD.html
