Название;Цена;При обмене;Характеристика;Ссылка
RDrive YTX14H-BS 12V 12Ah 230А прям. пол. AGM (150x87x145) eXtremal GOLD;4 600 руб.;4 550 руб.при обмене;Емкость12Пусковой ток230ПолярностьПрямаяТипоразмер150x87x145Гарантия производителя12 мес.;https://akb.ru//product/2091-RDrive_YTX14H-BS_12V_12Ah_230A_pryam_pol_AGM_(150x87x145)_eXtremal_GOLD.html
Rdrive А 000 982 93 08 OEM 12 Ач п.п. 200А (150x87x146) AUXILIARY YTX14-BS;4 800 руб.;4 750 руб.при обмене;Емкость12Пусковой ток200ПолярностьПрямаяТипоразмер150x87x146Гарантия производителя12 мес.;https://akb.ru//product/91720-Rdrive_A_000_982_93_08_OEM_12_Ach_pp_200A_(150x87x146)_AUXILIARY_YTX14-BS.html
RDrive JPE-Q85 (90D23L) 65Ah 520А (232x173x225) PE1T-18-520 9B;8 800 руб.;8 100 руб.при обмене;Емкость65Пусковой ток520ПолярностьОбратнаяТипоразмер232x173x225Гарантия производителя24 мес.;https://akb.ru//product/91728-RDrive_JPE-Q85_(90D23L)_65Ah_520A_(232x173x225)_PE1T-18-520_9B.html
RDrive AGM 12V 95Ah 850A (353x175x190) 61 216 924 023 EUA-095085L5;16 900 руб.;15 900 руб.при обмене;Емкость92Пусковой ток850ПолярностьОбратнаяТипоразмер354x175x190Гарантия производителя24 мес.;https://akb.ru//product/91722-RDrive_AGM_12V_95Ah_850A_(353x175x190)_61_216_924_023_EUA-095085L5.html
