Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор RED 50R;3600руб.;3300руб.;≈мкость: 50 јчѕусковой ток: 460 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-red-50r-460a-207x175x190.html
јккумул€тор RED 60RS (низкий);4100руб.;3600руб.;≈мкость: 60 јчѕусковой ток: 520 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-red-60rs-520a-242x175x175.html
јккумул€тор RED 75RS (низкий);5250руб.;4650руб.;≈мкость: 75 јчѕусковой ток: 720 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-red-75rs-720a-278x175x175.html
јккумул€тор RED 140 euro;10900руб.;9900руб.;≈мкость: 140 јчѕусковой ток: 1200 јѕол€рность:ќбратна€ [- +]√абариты: 510x189x220√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-red-140-euro-1100a-510h189h220.html
јккумул€тор RED 190 euro;12500руб.;11100руб.;≈мкость: 190 јчѕусковой ток: 1350 јѕол€рность:ќбратна€ [+ -]√абариты: 513x222x217√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-red-190-euro-1350a-513h222h217.html
јккумул€тор RED 225 euro;15900руб.;14200руб.;≈мкость: 225 јчѕусковой ток: 1500 јѕол€рность:ќбратна€ [+ -]√абариты: 517x273x240√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-red-225-euro-1500a-517x273x240.html
