Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
TAB Moto High performance HYB9L-B 12V 9Ah 130A (135х75х139) обр. пол. сухоз.;1 950 руб.;1 900 руб.при обмене;≈мкость9—трана итайJIS-кодYB9L-Bѕусковой ток130ѕол€рностьќбратна€“ипоразмер135x75x139;https://akb.ru//product/1868-TAB_Moto_High_performance_HYB9L-B_12V_9Ah_130A_(135h75h139)_obr_pol_suhoz.html
TAB Moto High performance HYB10L-A2 12V 11Ah 160A (134х89х145) обр. пол. сухоз.;2 000 руб.;1 950 руб.при обмене;≈мкость11—трана итайJIS-кодYB10L-A2ѕусковой ток160ѕол€рностьќбратна€“ипоразмер134x89x145;https://akb.ru//product/1845-TAB_Moto_High_performance_HYB10L-A2_12V_11Ah_160A_(134h89h145)_obr_pol_suhoz.html
TAB Moto High performance HYB10L-B (186515) 12V 11Ah 140A (134x90x145) обр. пол. сухоз.;2 100 руб.;2 050 руб.при обмене;≈мкость11—трана итайJIS-кодYB10L-Bѕусковой ток140ѕол€рностьќбратна€“ипоразмер134x90x145;https://akb.ru//product/91310-TAB_Moto_High_performance_HYB10L-B_(186515)_12V_11Ah_140A_(134x90x145)_obr_pol_suhoz.html
TAB Moto Maintenance free MYTZ12-BS 12V 10Ah 140A (150х88х110) пр€м. пол. AGM;2 200 руб.;2 150 руб.при обмене;≈мкость10—трана итайJIS-кодYTZ12-BSѕусковой ток140ѕол€рностьѕр€ма€“ипоразмер150x88x110;https://akb.ru//product/1828-TAB_Moto_Maintenance_free_MYTZ12-BS_12V_10Ah_140A_(150h88h110)_pryam_pol_AGM.html
TAB Moto High performance HYB9-B (183515) 12V 9Ah 90A (135х75х139) пр€м. пол. сухоз.;2 200 руб.;2 150 руб.при обмене;≈мкость9—трана итайJIS-кодYB9-Bѕусковой ток130ѕол€рностьѕр€ма€“ипоразмер135x75x139;https://akb.ru//product/91312-TAB_Moto_High_performance_HYB9-B_(183515)_12V_9Ah_90A_(135h75h139)_pryam_pol_suhoz.html
TAB Moto Maintenance free MYTZ14-BS 12V 11Ah 140A (150х88х110) пр€м. пол. AGM;2 650 руб.;2 600 руб.при обмене;≈мкость11—трана итайJIS-кодYTZ14-BSѕусковой ток140ѕол€рностьѕр€ма€“ипоразмер150x88x110;https://akb.ru//product/1835-TAB_Moto_Maintenance_free_MYTZ14-BS_12V_11Ah_140A_(150h88h110)_pryam_pol_AGM.html
TAB Moto GEL GYTZ10S 12V 8.5Ah 110A (150х87х93) пр€м. пол.;2 800 руб.;2 750 руб.при обмене;≈мкость8—трана итайJIS-кодYTZ10Sѕусковой ток110ѕол€рностьѕр€ма€“ипоразмер150x87x93;https://akb.ru//product/1834-TAB_Moto_GEL_GYTZ10S_12V_85Ah_110A_(150h87h93)_pryam_pol.html
