Название;Цена;При обмене;Характеристика;Ссылка
Uplus HPG14-4 12V 12Ah 200А прям. пол. (150x87x145) Nano GEL;2 950 руб.;2 900 руб.при обмене;Емкость12СтранаКитайJIS-кодYTX14Пусковой ток200ПолярностьПрямаяТипоразмер150x87x145;https://akb.ru//product/2495-Uplus_HPG14-4_12V_12Ah_200A_pryam_pol_(150x87x145)_Nano_GEL.html
Uplus HPG14A-3 12V 12Ah 180А обр. пол. (135x90x167) Nano GEL;3 050 руб.;3 000 руб.при обмене;Емкость12СтранаКитайJIS-кодYTX14AHLПусковой ток180ПолярностьОбратнаяТипоразмер135x90x167;https://akb.ru//product/2496-Uplus_HPG14A-3_12V_12Ah_180A_obr_pol_(135x90x167)_Nano_GEL.html
Uplus HPG16-4 12V 14Ah 170А прям. пол. (150x87x161) Nano GEL;3 150 руб.;3 100 руб.при обмене;Емкость14СтранаКитайJIS-кодYTX16Пусковой ток170ПолярностьПрямаяТипоразмер150x87x161;https://akb.ru//product/2492-Uplus_HPG16-4_12V_14Ah_170A_pryam_pol_(150x87x161)_Nano_GEL.html
Uplus MX12-4 12V 10Ah 180А прям. пол. (150x87x145) Power Sport;3 300 руб.;3 250 руб.при обмене;Емкость10СтранаКитайJIS-кодYTX12Пусковой ток180ПолярностьПрямаяТипоразмер150x87x145;https://akb.ru//product/2468-Uplus_MX12-4_12V_10Ah_180A_pryam_pol_(150x87x145)_Power_Sport.html
Uplus LT14-4 12V 12Ah 200А прям. пол. (150x87x145) Super Start AGM;3 400 руб.;3 350 руб.при обмене;Емкость12СтранаКитайJIS-кодYTX14Пусковой ток200ПолярностьПрямаяТипоразмер150x87x145;https://akb.ru//product/2480-Uplus_LT14-4_12V_12Ah_200A_pryam_pol_(150x87x145)_Super_Start_AGM.html
Uplus EB20-4 12V 18Ah 270А прям.пол. (175x87x155) Super Start High Performance AGM YTX20-BS;3 850 руб.;3 750 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX20H-BSПусковой ток270ПолярностьПрямаяТипоразмер175x87x155;https://akb.ru//product/2470-Uplus_EB20-4_12V_18Ah_270A_pryampol_(175x87x155)_Super_Start_High_Performance_AGM_YTX20-BS.html
Uplus MX14-4 12V 12Ah 230А прям. пол. (150x87x145) Power Sport;3 850 руб.;3 800 руб.при обмене;Емкость12СтранаКитайJIS-кодGYZ16HПусковой ток230ПолярностьПрямаяТипоразмер150x87x145;https://akb.ru//product/2486-Uplus_MX14-4_12V_12Ah_230A_pryam_pol_(150x87x145)_Power_Sport.html
Uplus LT18-3  12V 18Ah 250А обр. пол. (205x87x162) Super Start AGM;4 000 руб.;3 900 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX18Пусковой ток250ПолярностьОбратнаяТипоразмер205x87x162;https://akb.ru//product/2473-Uplus_LT18-3__12V_18Ah_250A_obr_pol_(205x87x162)_Super_Start_AGM.html
Uplus HPG20-3 12V 18Ah 270А обр. пол. (175x87x155) Nano GEL;4 120 руб.;4 020 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX20LПусковой ток270ПолярностьОбратнаяТипоразмер175x87x155;https://akb.ru//product/2494-Uplus_HPG20-3_12V_18Ah_270A_obr_pol_(175x87x155)_Nano_GEL.html
Uplus MX20-3 12V 18Ah 310А обр. пол. (176x87x154) Power Sport;4 850 руб.;4 750 руб.при обмене;Емкость18СтранаКитайJIS-кодGYZ20LПусковой ток310ПолярностьОбратнаяТипоразмер176x87x154;https://akb.ru//product/2488-Uplus_MX20-3_12V_18Ah_310A_obr_pol_(176x87x154)_Power_Sport.html
Uplus MX18-3 12V 20Ah 340А обр. пол. (205x90x162) Power Sport;5 700 руб.;5 600 руб.при обмене;Емкость20СтранаКитайJIS-кодYTX18Пусковой ток340ПолярностьОбратнаяТипоразмер205x90x162;https://akb.ru//product/2487-Uplus_MX18-3_12V_20Ah_340A_obr_pol_(205x90x162)_Power_Sport.html
Uplus EB30-3 12V 30Ah 385А обр.пол. (166x126x173) Super Start High Performance AGM;5 940 руб.;5 840 руб.при обмене;Емкость30СтранаКитайJIS-кодYIX30LПусковой ток385ПолярностьОбратнаяТипоразмер166x126x173;https://akb.ru//product/2472-Uplus_EB30-3_12V_30Ah_385A_obrpol_(166x126x173)_Super_Start_High_Performance_AGM.html
Uplus LT30-3 12V 30Ah 385А обр. пол. (165x125x175) Super Start AGM;6 100 руб.;6 000 руб.при обмене;Емкость30СтранаКитайJIS-кодYB30L-BПусковой ток385ПолярностьОбратнаяТипоразмер165x125x175;https://akb.ru//product/2483-Uplus_LT30-3_12V_30Ah_385A_obr_pol_(165x125x175)_Super_Start_AGM.html
