Название;Цена;При обмене;Характеристика;Ссылка
Ford Standart 60 Ач обратная пол. 520А (242x175x175) 2 247 685;6 050 руб.;5 350 руб.при обмене;Емкость60Пусковой ток520ПолярностьОбратнаяТипоразмер242x175x175Гарантия производителя24 мес.;https://akb.ru//product/91523-Ford_Standart_60_Ach_obratnaya_pol_520A_(242x175x175)_2_247_685.html
Ford Standart 52 Ач обратная пол. 520А (242x175x175) 1 712 277;7 100 руб.;6 600 руб.при обмене;Емкость52Пусковой ток520ПолярностьОбратнаяТипоразмер242x175x175Гарантия производителя24 мес.;https://akb.ru//product/46123-Ford_Standart_52_Ach_obratnaya_pol_520A_(242x175x175)_1_712_277.html
Ford Standart 60 Ач обратная пол. 590А (278x175x175) 2375059;8 800 руб.;8 100 руб.при обмене;Емкость60Пусковой ток590ПолярностьОбратнаяТипоразмер278x175x175Гарантия производителя24 мес.;https://akb.ru//product/46122-Ford_Standart_60_Ach_obratnaya_pol_590A_(278x175x175)_2375059.html
Ford Standart 80 Ач обратная пол. 700А (315x175x175) 1 917 574;10 050 руб.;9 150 руб.при обмене;Емкость80Пусковой ток700ПолярностьОбратнаяТипоразмер315x175x175Гарантия производителя24 мес.;https://akb.ru//product/2418-Ford_Standart_80_Ach_obratnaya_pol_700A_(315x175x175)_1_917_574.html
