Название;Цена;При обмене;Характеристика;Ссылка
BANNER Running Bull AGM BACKUP (509 00 / AUX 09) 9L 120A 150x88x106;2 500 руб.;2 450 руб.при обмене;Емкость9СтранаАвстрияJIS-кодYTZ10SПусковой ток120ПолярностьПрямаяТипоразмер150x88x106;https://akb.ru//product/2052-BANNER_Running_Bull_AGM_BACKUP_(509_00__AUX_09)_9L_120A_150x88x106.html
Banner Bike Bull AGM PROfessional 52001 ETX20L 18 Ач обр. пол. 310А (175x88x155);9 300 руб.;9 200 руб.при обмене;Емкость18СтранаАвстрияJIS-кодETX20LПусковой ток310ПолярностьОбратнаяТипоразмер175x88x155;https://akb.ru//product/2624-Banner_Bike_Bull_AGM_PROfessional_52001_ETX20L_18_Ach_obr_pol_310A_(175x88x155).html
Banner Bike Bull AGM PROfessional 53001 ETX30L 26 Ач обр. пол. 400А (168x131x176);10 600 руб.;10 500 руб.при обмене;Емкость26СтранаАвстрияJIS-кодETX30LПусковой ток400ПолярностьОбратнаяТипоразмер168x131x176;https://akb.ru//product/2623-Banner_Bike_Bull_AGM_PROfessional_53001_ETX30L_26_Ach_obr_pol_400A_(168x131x176).html
