Название;Цена;При обмене;Характеристика;Ссылка
Delta DT 12012, 12V 1.2Ah (97x44x59);482 руб.;462 руб.при обмене;Емкость1ПолярностьПрямаяТипоразмер97x44x59Гарантия производителя12 мес.;https://akb.ru//product/1208-Delta_DT_12012_12V_12Ah_(97x44x59).html
Delta CT 1214, 12V 14Ah, 200А (151x88x147) YTX14-BS, YTX14H-BS;3 300 руб.;3 250 руб.при обмене;Емкость14Пусковой ток200ПолярностьПрямаяТипоразмер151x88x147Гарантия производителя12 мес.;https://akb.ru//product/1207-Delta_CT_1214_12V_14Ah_200A_(151x88x147)_YTX14-BS_YTX14H-BS.html
Delta EPS 1214, 12V 12Ah, 220А (149x87x144) YTX14-BS, YTX14H-BS прямая пол.;4 329 руб.;4 279 руб.при обмене;Емкость12Пусковой ток220ПолярностьПрямаяТипоразмер149x87x144Гарантия производителя12 мес.;https://akb.ru//product/2022-Delta_EPS_1214_12V_12Ah_220A_(149x87x144)_YTX14-BS_YTX14H-BS_pryamaya_pol.html
