Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
BANNER Running Bull AGM Start-Stop (580 01) 80R 800A 315x175x190;14 500 руб.;13 600 руб.при обмене;≈мкость80ѕусковой ток800ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€48 мес.;https://akb.ru//product/445-BANNER_Running_Bull_AGM_Start-Stop_(580_01)_80R_800A_315x175x190.html
BANNER Buffalo Bull SHD PROfessional (645 03) 145 евро 800A 513x189x223;14 900 руб.;13 400 руб.при обмене;≈мкость145ѕусковой ток760ѕол€рностьќбратна€“ипоразмер513x189x223√аранти€ производител€12 мес.;https://akb.ru//product/2206-BANNER_Buffalo_Bull_SHD_PROfessional_(645_03)_145_evro_800A_513x189x223.html
BANNER Buffalo Bull SHD (680 32 N) 180 евро 1000A 514x223x220;14 900 руб.;12 700 руб.при обмене;≈мкость180ѕусковой ток1000ѕол€рностьќбратна€“ипоразмер514x223x220√аранти€ производител€12 мес.;https://akb.ru//product/91246-BANNER_Buffalo_Bull_SHD_(680_32_N)_180_evro_1000A_514x223x220.html
BANNER Power Bull Pro (110 40) 110R 900A 393x175x190;15 300 руб.;14 200 руб.при обмене;≈мкость110ѕусковой ток900ѕол€рностьќбратна€“ипоразмер393x175x190√аранти€ производител€24 мес.;https://akb.ru//product/4-BANNER_Power_Bull_Pro_(110_40)_110R_900A_393x175x190.html
BANNER Running Bull AGM Start-Stop (592 01) 92R 850A 354x175x190;16 200 руб.;15 200 руб.при обмене;≈мкость92ѕусковой ток850ѕол€рностьќбратна€“ипоразмер354x175x190√аранти€ производител€48 мес.;https://akb.ru//product/10-BANNER_Running_Bull_AGM_Start-Stop_(592_01)_92R_850A_354x175x190.html
BANNER Buffalo Bull (680 32) 180 евро 950A 514x223x220;16 600 руб.;14 400 руб.при обмене;≈мкость180ѕусковой ток950ѕол€рностьќбратна€“ипоразмер514x223x220√аранти€ производител€12 мес.;https://akb.ru//product/1-BANNER_Buffalo_Bull_(680_32)_180_evro_950A_514x223x220.html
BANNER Running Bull AGM Start-Stop (60 501) 105R  950A 394x175x190;18 400 руб.;17 300 руб.при обмене;≈мкость105ѕусковой ток950ѕол€рностьќбратна€“ипоразмер394x175x190√аранти€ производител€24 мес.;https://akb.ru//product/11-BANNER_Running_Bull_AGM_Start-Stop_(60_501)_105R__950A_394x175x190.html
BANNER Buffalo Bull SHD PROfessional (680 08) 180 евро 1000A 514x223x220;18 500 руб.;16 300 руб.при обмене;≈мкость180ѕусковой ток1000ѕол€рностьќбратна€“ипоразмер514x223x220√аранти€ производител€12 мес.;https://akb.ru//product/2247-BANNER_Buffalo_Bull_SHD_PROfessional_(680_08)_180_evro_1000A_514x223x220.html
BANNER Buffalo Bull (680 11) 180 евро 1400A 514x223x220 HIGH CURRENT;18 950 руб.;16 750 руб.при обмене;≈мкость180ѕусковой ток1400ѕол€рностьќбратна€“ипоразмер514x223x220√аранти€ производител€12 мес.;https://akb.ru//product/91319-BANNER_Buffalo_Bull_(680_11)_180_evro_1400A_514x223x220_HIGH_CURRENT.html
BANNER Buffalo Bull (725 11) 225 евро 1050A 517x273x240;21 200 руб.;18 700 руб.при обмене;≈мкость225ѕусковой ток1150ѕол€рностьќбратна€“ипоразмер517x273x240√аранти€ производител€12 мес.;https://akb.ru//product/2-BANNER_Buffalo_Bull_(725_11)_225_evro_1050A_517x273x240.html
BANNER Buffalo Bull SHD PROfessional  (725 03) 225 евро 1150A 517x273x240;23 600 руб.;21 100 руб.при обмене;≈мкость225ѕусковой ток1150ѕол€рностьќбратна€“ипоразмер517x273x240√аранти€ производител€12 мес.;https://akb.ru//product/2262-BANNER_Buffalo_Bull_SHD_PROfessional__(725_03)_225_evro_1150A_517x273x240.html
BANNER Buffalo Bull EFB (740 17) 240 евро 1200A 517x273x240;24 200 руб.;21 700 руб.при обмене;≈мкость240ѕусковой ток1200ѕол€рностьќбратна€“ипоразмер517x273x240√аранти€ производител€12 мес.;https://akb.ru//product/56801-BANNER_Buffalo_Bull_EFB_(740_17)_240_evro_1200A_517x273x240.html
BANNER Energy Bull (968 01) 12V 230Ah 517x273x240;24 300 руб.;21 800 руб.при обмене;≈мкость230ѕол€рностьќбратна€“ипоразмер517x273x240√аранти€ производител€12 мес.;https://akb.ru//product/91368-BANNER_Energy_Bull_(968_01)_12V_230Ah_517x273x240.html
