Название;Цена;При обмене;Характеристика;Ссылка
YUASA YBX3000 60L (550А 242x175x190) YBX3078;6 210 руб.;5 510 руб.при обмене;Емкость60Пусковой ток550ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/1861-YUASA_YBX3000_60L_(550A_242x175x190)_YBX3078.html
Yuasa YTX14-BS - 12 Ач 200А (151x88x146) прям. пол. AGM сухозаряж.;6 250 руб.;6 200 руб.при обмене;Емкость12Пусковой ток200ПолярностьПрямаяТипоразмер151x88x146Гарантия производителя12 мес.;https://akb.ru//product/56223-Yuasa_YTX14-BS_-_12_Ach_200A_(151x88x146)_pryam_pol_AGM_suhozaryazh.html
YUASA YBX3000 75R (650А 278x175x190) YBX3096;6 800 руб.;6 000 руб.при обмене;Емкость75Пусковой ток650ПолярностьОбратнаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/1065-YUASA_YBX3000_75R_(650A_278x175x190)_YBX3096.html
YUASA YBX5000 80R (760А 278x175x190) Silver High Performanse YBX5096;8 200 руб.;7 300 руб.при обмене;Емкость80Пусковой ток760ПолярностьОбратнаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/1577-YUASA_YBX5000_80R_(760A_278x175x190)_Silver_High_Performanse_YBX5096.html
YUASA EFB 65R (650А 278x175x175) Start-Stop, YBX7100;9 800 руб.;9 100 руб.при обмене;Емкость65Пусковой ток650ПолярностьОбратнаяТипоразмер278x175x175Гарантия производителя24 мес.;https://akb.ru//product/1616-YUASA_EFB_65R_(650A_278x175x175)_Start-Stop_YBX7100.html
YUASA EFB 75R (700А 278x175x190) Start-Stop, YBX7096;10 000 руб.;9 200 руб.при обмене;Емкость75Пусковой ток700ПолярностьОбратнаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/1510-YUASA_EFB_75R_(700A_278x175x190)_Start-Stop_YBX7096.html
YUASA EFB 75R (730А 315x175x175) Start-Stop, YBX7110;12 900 руб.;12 100 руб.при обмене;Емкость75Пусковой ток730ПолярностьОбратнаяТипоразмер315x175x175Гарантия производителя24 мес.;https://akb.ru//product/1596-YUASA_EFB_75R_(730A_315x175x175)_Start-Stop_YBX7110.html
YUASA AGM 105R (950А 393x175x190) Start-Stop Plus, YBX9020;18 150 руб.;17 050 руб.при обмене;Емкость105Пусковой ток950ПолярностьОбратнаяТипоразмер393x175x190Гарантия производителя24 мес.;https://akb.ru//product/1511-YUASA_AGM_105R_(950A_393x175x190)_Start-Stop_Plus_YBX9020.html
