Название;Цена;При обмене;Характеристика;Ссылка
Uplus HPG14-4 12V 12Ah 200А прям. пол. (150x87x145) Nano GEL;2 950 руб.;2 900 руб.при обмене;Емкость12Пусковой ток200ПолярностьПрямаяТипоразмер150x87x145Гарантия производителя12 мес.;https://akb.ru//product/2495-Uplus_HPG14-4_12V_12Ah_200A_pryam_pol_(150x87x145)_Nano_GEL.html
Uplus LT14-4 12V 12Ah 200А прям. пол. (150x87x145) Super Start AGM;3 400 руб.;3 350 руб.при обмене;Емкость12Пусковой ток200ПолярностьПрямаяТипоразмер150x87x145Гарантия производителя12 мес.;https://akb.ru//product/2480-Uplus_LT14-4_12V_12Ah_200A_pryam_pol_(150x87x145)_Super_Start_AGM.html
Uplus MX14-4 12V 12Ah 230А прям. пол. (150x87x145) Power Sport;3 850 руб.;3 800 руб.при обмене;Емкость12Пусковой ток230ПолярностьПрямаяТипоразмер150x87x145Гарантия производителя12 мес.;https://akb.ru//product/2486-Uplus_MX14-4_12V_12Ah_230A_pryam_pol_(150x87x145)_Power_Sport.html
