Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор TROJAN 30XHS 12V 130A;24400руб.;23200руб.;≈мкость: 130 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 355x171x256√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-30xhs-12v-130a-355h171h256.html
јккумул€тор TROJAN 31XHS 12V 130A;24400руб.;23200руб.;≈мкость: 130 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 329x171x243√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-31xhs-12v-130a-329h171h243.html
јккумул€тор TROJAN OverDriveAGM31 12V 102A;24900руб.;23700руб.;≈мкость: 102 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 329x174x237√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-overdriveagm31-12v-102a-329h174h237.html
јккумул€тор TROJAN 22-AGM 12V 50A;25100руб.;24500руб.;≈мкость: 50 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 228x139x204√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-22-agm-12v-50a-228h139h204.html
јккумул€тор TROJAN 6V-AGM 6V 200A;25200руб.;24200руб.;≈мкость: 200 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 260x181x276√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-6v-agm-6v-200a-260h181h274.html
јккумул€тор TROJAN S-305 6V 295A;26400руб.;24900руб.;≈мкость: 295 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 312x174x366√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-s-305-6v-295a-314h174h366.html
јккумул€тор TROJAN T1260+ 12V 140A;26400руб.;25000руб.;≈мкость: 140 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 329x181x272√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t1260-12v-140a-329h181h272.html
јккумул€тор TROJAN T145 6V 260A;27300руб.;26100руб.;≈мкость: 260 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 262x181x302√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t145-6v-260a-262h181h302.html
јккумул€тор TROJAN 24-GEL 12V 77A;27300руб.;26500руб.;≈мкость: 77 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 276x171x236√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-24-gel-12v-77a-276h171h236.html
јккумул€тор TROJAN J150 12V 150A;27800руб.;26400руб.;≈мкость: 150 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 348x181x283√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j150-12v-150a-348h181h283.html
јккумул€тор TROJAN J250P 6V 250A;27900руб.;26700руб.;≈мкость: 250 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 296x176x293√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j250p-6v-250a-296h176h293.html
јккумул€тор TROJAN 27-AGM 12V 89A;27900руб.;26900руб.;≈мкость: 89 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 306x174x221√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-27-agm-12v-89a-306h174h221.html
јккумул€тор TROJAN 24-AGM 12V 76A;28100руб.;27300руб.;≈мкость: 76 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 274x174x219√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-24-agm-12v-76a-274h174h219.html
јккумул€тор TROJAN T1275 12V 150A;29000руб.;27600руб.;≈мкость: 150 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 329x181x272√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t1275-12v-150a-329h181h272.html
јккумул€тор TROJAN T105-AGM 6V 217A;29100руб.;27900руб.;≈мкость: 217 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 262x179x273√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t105-agm-6v-217a-262h179h273.html
јккумул€тор TROJAN S-16 6V 362A;30700руб.;28900руб.;≈мкость: 362 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 311x174x417√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-s-16-6v-362a-313h174h417.html
