Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор СТАНДАРТ 60L;2200руб.;1700руб.;Емкость: 60 АчПусковой ток: 500 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-standart-60l-500a-242x175x190.html
Аккумулятор СТАНДАРТ 190 рус;7100руб.;5700руб.;Емкость: 190 АчПусковой ток: 1200 АПолярность:Прямая [- +]Габариты: 513x223x223Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-standart-190-rus-1200a-513x224x224.html
Аккумулятор СТАНДАРТ 190 euro;7100руб.;5700руб.;Емкость: 190 АчПусковой ток: 1200 АПолярность:Обратная [+ -]Габариты: 513x223x223Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-standart-190-euro-1200a-513x224x224.html
Аккумулятор СТАНДАРТ 190 под болт;7800руб.;6400руб.;Емкость: 190 АчПусковой ток: 1200 АПолярность:Прямая [- +]Габариты: 513x223x223Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-standart-190-pod-bolt-1200a-513x224x224.html
