Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор РУСБАТ 60L;3100руб.;2600руб.;Емкость: 60 АчПусковой ток: 480 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-rusbat-60l-480a-242x175x190.html
Аккумулятор РУСБАТ 60R;3100руб.;2600руб.;Емкость: 60 АчПусковой ток: 480 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-rusbat-60r-480a-242x175x190.html
Аккумулятор РУСБАТ 75L;3950руб.;3350руб.;Емкость: 75 АчПусковой ток: 650 АПолярность:Прямая [+ -]Габариты: 278x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-rusbat-75l-650a-278x175x190.html
Аккумулятор РУСБАТ 75R;3950руб.;3350руб.;Емкость: 75 АчПусковой ток: 650 АПолярность:Обратная [- +]Габариты: 278x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-rusbat-75r-650a-278x175x190.html
