Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор SOLITE 115R (115E41L);8550руб.;7850руб.;Емкость: 115 АчПусковой ток: 850 АПолярность:Обратная [- +]Габариты: 403x173x231Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-115e41l-115r-850a-403x172x224.html
Аккумулятор SOLITE 115L (115E41R);8550руб.;7850руб.;Емкость: 115 АчПусковой ток: 850 АПолярность:Прямая [+ -]Габариты: 403x173x231Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-115e41r-115l-850a-403x172x224.html
Аккумулятор SOLITE EFB 70R;8700руб.;8200руб.;Емкость: 70 АчПусковой ток: 680 АПолярность:Обратная [- +]Габариты: 276x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-efb-70r-680a-276x175x190.html
Аккумулятор SOLITE CMF 65-850;8900руб.;8300руб.;Емкость: 85 АчПусковой ток: 850 АПолярность:Прямая [+ -]Габариты: 294x189x195Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-cmf-65-850-100l-850a-294x189x195.html
Аккумулятор SOLITE EFB S95R;9050руб.;8450руб.;Емкость: 80 АчПусковой ток: 790 АПолярность:Прямая [+ -]Габариты: 260x175x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-efb-s95r-80l-790a-260x172x200.html
Аккумулятор SOLITE EFB S95;9050руб.;8450руб.;Емкость: 80 АчПусковой ток: 790 АПолярность:Обратная [- +]Габариты: 260x175x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-efb-s95-80r-790a-260x172x220.html
Аккумулятор SOLITE 31P-1000;10150руб.;9150руб.;Емкость: 140 АчПусковой ток: 1100 АПолярность:УниверсальнаяГабариты: 330x173x240Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-solite-31-1000-140uni-1000a-330x173x240.html
Аккумулятор SOLITE 31S-1000;10150руб.;9150руб.;Емкость: 140 АчПусковой ток: 1100 АПолярность:Прямая [+ -]Габариты: 330x173x240Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-solite-31s-1000-120-1000a-330x173x240.html
Аккумулятор SOLITE EFB 80R;10200руб.;9600руб.;Емкость: 80 АчПусковой ток: 740 АПолярность:Обратная [- +]Габариты: 315x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-efb-80r-740a-315x175x190.html
Аккумулятор SOLITE 130F51;10650руб.;9950руб.;Емкость: 120 АчПусковой ток: 900 АПолярность:Обратная [+ -]Габариты: 510x189x220Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-solite-130f51-120l-900a-503x182x230.html
Аккумулятор SOLITE DC 31;10700руб.;10000руб.;Емкость: 105 АчПусковой ток: 700 АПолярность:Прямая [+ -]Габариты: 330x173x240Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-solite-dc-31-105l-700a-330x172x238.html
Аккумулятор SOLITE 155G51;11800руб.;10800руб.;Емкость: 150 АчПусковой ток: 1000 АПолярность:Прямая [- +]Габариты: 510x189x220Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-solite-155g51-150-euro-1000a-503x182x230.html
Аккумулятор SOLITE AGM 70R;12400руб.;11900руб.;Емкость: 70 АчПусковой ток: 760 АПолярность:Обратная [- +]Габариты: 276x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-agm-70r-760a-276x175x190.html
Аккумулятор SOLITE 195G51;13300руб.;11900руб.;Емкость: 200 АчПусковой ток: 1100 АПолярность:Прямая [- +]Габариты: 510x275x238Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-solite-195g51-200-euro-1100a-503x216x239.html
Аккумулятор SOLITE AGM 95R;14900руб.;14200руб.;Емкость: 95 АчПусковой ток: 850 АПолярность:Обратная [- +]Габариты: 353x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-agm-95r-850a-353x175x190.html
Аккумулятор SOLITE 245H52  euro;19000руб.;17300руб.;Емкость: 220 АчПусковой ток: 1300 АПолярность:Обратная [+ -]Габариты: 510x275x238Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-solite-245h52-220-euro-1300a-503x216x239.html
