Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор Smart ELEMENT 105D31L (90R);5000руб.;4300руб.;Емкость: 90 АчПусковой ток: 680 АПолярность:Обратная [- +]Габариты: 306x173x225Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-smart-element-105d31l-90r-680a-306x172x220.html
Аккумулятор Smart ELEMENT TT 132 рус 850А;7900руб.;6900руб.;Емкость: 132 АчПусковой ток: 850 АПолярность:Прямая [- +]Габариты: 514x175x210Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-smart-element-tt-132-rus-850a-514h175h210.html
Аккумулятор Smart ELEMENT TT 225 euro 1450А;13200руб.;11500руб.;Емкость: 225 АчПусковой ток: 1450 АПолярность:Обратная [+ -]Габариты: 518x274x238Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-smart-element-tt-225-euro-1450a-518x274x238.html
