Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор Red Energy DS 12-07;2100руб.;2050руб.;Емкость: 7 АчПусковой ток: 110 АПолярность:Прямая [+ -]Габариты: 150x87x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-07.html
Аккумулятор Red Energy DS 12-07.1;2250руб.;2200руб.;Емкость: 7 АчПусковой ток: 110 АПолярность:Обратная [- +]Габариты: 114x71x131Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-07.1.html
Аккумулятор Red Energy DS 12-08;2300руб.;2250руб.;Емкость: 8 АчПусковой ток: 120 АПолярность:Прямая [+ -]Габариты: 150x66x95Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-08.html
Аккумулятор Red Energy DS 12-09;2600руб.;2550руб.;Емкость: 9 АчПусковой ток: 140 АПолярность:Прямая [+ -]Габариты: 150x86x108Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-09.html
Аккумулятор Red Energy DS 12-10;2830руб.;2780руб.;Емкость: 10 АчПусковой ток: 110 АПолярность:Прямая [+ -]Габариты: 137x77x135Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-10.html
Аккумулятор Red Energy DS 12-10.1;3130руб.;3080руб.;Емкость: 10 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 150x87x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-10.1.html
Аккумулятор Red Energy DS 12-11;3240руб.;3190руб.;Емкость: 11 АчПусковой ток: 220 АПолярность:Прямая [+ -]Габариты: 150x86x112Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-11.html
Аккумулятор Red Energy DS 12-20;6100руб.;6000руб.;Емкость: 20 АчПусковой ток: 260 АПолярность:Прямая [+ -]Габариты: 204x91x159Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-20.html
