Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
BOLK 60L 500A 242x175x190 AB601;3 300 руб.;2 600 руб.при обмене;≈мкость60ѕусковой ток500ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2204-BOLK_60L_500A_242x175x190_AB601.html
BOLK 60R 500A 242x175x190 AB600;3 300 руб.;2 600 руб.при обмене;≈мкость60ѕусковой ток500ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2222-BOLK_60R_500A_242x175x190_AB600.html
BOLK 75R 600A 278x175x190 AB750;4 400 руб.;3 600 руб.при обмене;≈мкость75ѕусковой ток600ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2234-BOLK_75R_600A_278x175x190_AB750.html
BOLK 75L 600A 278x175x190 AB751;4 400 руб.;3 600 руб.при обмене;≈мкость75ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2235-BOLK_75L_600A_278x175x190_AB751.html
BOLK 100R 750A 353x175x190 AB1000;5 350 руб.;4 350 руб.при обмене;≈мкость100ѕусковой ток750ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€12 мес.;https://akb.ru//product/91716-BOLK_100R_750A_353x175x190_AB1000.html
BOLK 100L 750A 353x175x190 AB1001;5 350 руб.;4 350 руб.при обмене;≈мкость100ѕусковой ток750ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€12 мес.;https://akb.ru//product/91717-BOLK_100L_750A_353x175x190_AB1001.html
BOLK 132 рус 870A 513x189x223 AB1321;8 600 руб.;7 100 руб.при обмене;≈мкость132ѕусковой ток870ѕол€рностьѕр€ма€“ипоразмер513x189x223√аранти€ производител€12 мес.;https://akb.ru//product/2207-BOLK_132_rus_870A_513x189x223_AB1321.html
BOLK 190 рус 1200A (524X239X240) AB 1900;10 750 руб.;8 550 руб.при обмене;≈мкость190ѕусковой ток1200ѕол€рностьѕр€ма€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/2177-BOLK_190_rus_1200A_(524X239X240)_AB_1900.html
BOLK 190 рус клеммы под болт 1200A (524X239X240) AB1901;10 750 руб.;8 550 руб.при обмене;≈мкость190ѕусковой ток1200ѕол€рностьѕр€ма€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/2242-BOLK_190_rus_klemmy_pod_bolt_1200A_(524X239X240)_AB1901.html
