Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор EXIDE AGM 12-12;3500руб.;3450руб.;Емкость: 12 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 150x88x145Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-12.html
Аккумулятор EXIDE AGM 12-18;5600руб.;5550руб.;Емкость: 18 АчПусковой ток: 250 АПолярность:Обратная [- +]Габариты: 181x77x167Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-18.html
Аккумулятор EXIDE AGM 12-23;5900руб.;5800руб.;Емкость: 21 АчПусковой ток: 350 АПолярность:Обратная [- +]Габариты: 205x86x162Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-23.html
Аккумулятор EXIDE AGM 12-31;8800руб.;8700руб.;Емкость: 30 АчПусковой ток: 430 АПолярность:Обратная [- +]Габариты: 165x125x175Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-31.html
Аккумулятор EXIDE EB4L-B;1200руб.;1175руб.;Емкость: 4 АчПусковой ток: 50 АПолярность:Обратная [- +]Габариты: 120x70x92Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-eb4l-b.html
Аккумулятор EXIDE EB5L-B;1600руб.;1575руб.;Емкость: 5 АчПусковой ток: 65 АПолярность:Обратная [- +]Габариты: 120x60x130Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-eb5l-b.html
Аккумулятор EXIDE 12N9-3B;2200руб.;2150руб.;Емкость: 9 АчПусковой ток: 85 АПолярность:Обратная [- +]Габариты: 135x75x139Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-12n9-3b.html
Аккумулятор EXIDE 12N9-4B-1;2200руб.;2150руб.;Емкость: 9 АчПусковой ток: 85 АПолярность:Прямая [+ -]Габариты: 135x75x139Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-12n9-4b-1.html
Аккумулятор EXIDE EB9-B;2500руб.;2450руб.;Емкость: 9 АчПусковой ток: 100 АПолярность:Прямая [+ -]Габариты: 135x75x139Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-eb9-b.html
Аккумулятор EXIDE EB14L-A2;2950руб.;2900руб.;Емкость: 14 АчПусковой ток: 145 АПолярность:Обратная [- +]Габариты: 134x90x166Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-eb14l-a2.html
